# SNAPSHOT (read-only) of water/endowment principal held per prize/market pool — Seize the Seas
# snapshot date: 2026-06-27  |  Base block: 47900580  (freshness anchor)
# held_usd = WaterV2.totalBacking() (USDC principal), cross-checked vs aUSDC balanceOf; yield_per_day_approx = held_usd x ~5% Aave APR / 365 (APPROXIMATE).
# rows grouped by pool_or_destination. Water only changes when WE change it (depositAndWater locks principal). Re-run build-water-held.cjs to refresh.
pool_or_destination,funding_water,water_address,payout_token,held_usd,yield_per_day_approx,feeds_what,status,note
BILGE+GOBLIN,COPPER water,0x0749c5107091F153a9f3950FC63d5B96Df04528B,COPPER,1.000022,0.00013699,BILGE+GOBLIN (0xE07CE9Ec642d42C5c8A0068203068BAc6042bF57 + 0xf917d1660c72F2D48141a965c82CCBE8a2A175A6),live,totalBacking() | WaterV2 payout=COPPER via COPPER/Money wall 0x7D842E5059e354E27A791f658BECceEe59feBaF5 fee100; DEPLOYED 2026-06-24 (verified on-chain); $1 seed PENDING founder confirm (seed-coin-waters.cjs)
COIN ECONOMY / coin floors,GOLD water,0x24eb9Cf77d920207CC07584B5CD9BFB0F5a0F7C7,GOLD,1.000022,0.00013699,coin economy + gold prize bases + the gem swap chain,live,totalBacking() | WaterV2 payout=GOLD via GOLD/Money wall 0x18A880F2EDe190B1dad8D11f8A22F1B273c16A08 fee100; DEPLOYED 2026-06-24 (verified on-chain); $1 seed PENDING founder confirm (seed-coin-waters.cjs)
COIN ECONOMY / coin floors,SILVER water,0xdB2b6A7272acA7d6668B3Fa016307213C6121b2A,SILVER,1.000022,0.00013699,coin economy + silver prize bases,live,totalBacking() | WaterV2 payout=SILVER via SILVER/Money wall 0x49F384e64D8FB67eA7cb74067245f6f9fe7C8a52 fee100; DEPLOYED 2026-06-24 (verified on-chain); $1 seed PENDING founder confirm (seed-coin-waters.cjs)
crabbing endowment (symbolic until demand),CRAB water,0xcF1db6430FAeb0D93104D5c39b4681F9Bb17a1F7,GOLD,1.000003,0.00013699,crabbing endowment (symbolic until demand),live,totalBacking() | WaterV2 CRABw payout=GOLD (clone of GOLDw); 50/50 grow-water/move-crab = yield->GOLD->keeper BUYS crabs @ Port Royal + MOVES them to the BEACH (parallels fish PR->ocean). SEEDED $1 on Black Tide #98. SYMBOLIC — needs a P
fishing endowment (ocean fish economy),FISH water,0x37be8d2137c084f4ec0c23aE9C34f9b87e79F01F,GOLD,1.000004,0.00013699,fishing endowment (ocean fish economy),live,totalBacking() | WaterV2 FISHw payout=GOLD (clone of GOLDw) via GOLD/Money wall 0x18A880F2 fee100. 50/50 SPLIT: 50% GROWS the water (compounds endowment)
GOBLIN,FLOUR water,0x0a2B3b8128214c53Af7C0c9A191aFfA3c4d7F245,GOLD,0.999999,0.00013699,GOBLIN (0xf917d1660c72F2D48141a965c82CCBE8a2A175A6),live,totalBacking() | WaterV2 FLOURw payout=GOLD (clone of FISHw/GOLDw) via GOLD/Money wall 0x18A880F2 fee100; tree on SystemWaterHolder seat (non-pawn
GOBLIN,PORK water,0x4aD039BfB89D914a9B52BEfc27959db90f6f3697,GOLD,0.999999,0.00013699,GOBLIN (0xf917d1660c72F2D48141a965c82CCBE8a2A175A6),live,totalBacking() | WaterV2 PORKw payout=GOLD (clone of FISHw/GOLDw) via GOLD/Money wall 0x18A880F2 fee100; tree on SystemWaterHolder seat (non-pawn
GOBLIN,RICE water,0xAD902f1c77ebc8b9d2c8C2d0722fB073aB10E4e8,GOLD,0.999999,0.00013699,GOBLIN (0xf917d1660c72F2D48141a965c82CCBE8a2A175A6),live,totalBacking() | WaterV2 RICEw payout=GOLD (clone of FISHw/GOLDw) via GOLD/Money wall 0x18A880F2 fee100; tree on SystemWaterHolder seat (non-pawn
Guard ladder / Rogue Network (cbBTC Mayor pool),GUARD endowment,0x44c504ce08635536635f153b6ae5d9d6d8b3131f,cbBTC,21.003983,0.00287726,Guard ladder / Rogue Network (cbBTC Mayor pool),live,totalBacking() | MayorVault/CourtEndowment; watcher job#10
lumber economy + worker wages,MILL water (lumber),see mill-lp-deployed.json,,,,lumber economy + worker wages,live (no vault deployed),DIFFERENT FLOW (current): injects lumber to mill LP + pays GOLD/silver WORKER WAGES (player cut); deploy/mill-keeper.js
ocean fish MARKETS (not a water vault),ocean fish LPs,see ocean-deployed.json,,,,ocean fish MARKETS (not a water vault),live (no vault deployed),The 2 LPs: Port Royal sell wall 0x48dBb466 (1g) + ocean grounds 0x2d058ff8 (0.1g). LPs LIVE. OLD deploy/ocean-keeper.js (free-treasury-fish DUMP) RETIRED 2026-06-27 — replaced by the FISH water vault (row below) + ocean-
PAWN STAT JOBS (stat-waters),CHA water,0xc0813524820df5c6bb9a63a521fe218ff974b1b4,TGN,6.612720,0.00090585,pawn WIS/CHA (job: market),live,totalBacking() | WaterV2 job vault; watcher job#6
PAWN STAT JOBS (stat-waters),CON water,0x893531a85f249cc38da772be9056762e188302f6,BURGERS,0.375416,0.00005143,pawn STR/CON (job: stock rations),live,totalBacking() | WaterV2 job vault; watcher job#3
PAWN STAT JOBS (stat-waters),DEX water,0xb303c91724485462e3450A0Bd4513a521df997cB,EGP,0.000000,0.00000000,pawn DEX/INT (job: mend nets),live,totalBacking() | WaterV2 job vault; watcher job#2; fee 10000
PAWN STAT JOBS (stat-waters),INT water,0x90B54DA4Ac020fB163C51237e169FecEaC2369be,BEACON,0.000000,0.00000000,pawn INT (job: lighthouse),live,totalBacking() | WaterV2 job vault; watcher job#4; fee 10000
PAWN STAT JOBS (stat-waters),STR water,0xd6d793628dc6eed71eb37dd6c51678e8a9c25f22,CRATE,5.000936,0.00068506,pawn STR (job: haul cargo),live,totalBacking() | WaterV2 job vault; watcher job#1
PAWN STAT JOBS (stat-waters),WATER (generic),0x9789c459f08896148E8D1a8b2B7a4Bb95FAAf8B2,(n/a — non-WaterV2),78.624273,0.01077045,pawn ALL stats (diffuse) + tavern Galley,live,totalBacking() | MemeTrees/WATER vault (treeWater/pendingMeme interface NOT WaterV2)
PAWN STAT JOBS (stat-waters),WIS water,0x8c121fc0171944c3ea40d14fe549dff7107bdf39,SHELLS,0.000000,0.00000000,pawn WIS (job: sea-calling),live,totalBacking() | WaterV2 job vault; watcher job#5
